"","_id","operator_registration_number","postal_code","ward_number","ward_name"
"5700",1733677,"STR-2209-HFCBHJ","M5E","10","Spadina-Fort York"
"5701",1733678,"STR-2209-HMJBHK","M4M","14","Toronto-Danforth"
"5702",1733679,"STR-2209-HVQBHL","M2N","18","Willowdale"
"5703",1733680,"STR-2209-JCWBHM","M5J","10","Spadina-Fort York"
"5704",1733681,"STR-2209-FJFPHB","M6K","04","Parkdale-High Park"
"5705",1733682,"STR-2209-FRLPHC","M6G","12","Toronto-St. Paul's"
"5706",1733683,"STR-2209-FYSPHD","M4Y","13","Toronto Centre"
"5707",1733684,"STR-2209-GGYPHF","M5R","11","University-Rosedale"
"5708",1733685,"STR-2209-GQFPHG","M5V","10","Spadina-Fort York"
"5709",1733686,"STR-2209-GXLPHH","M6J","09","Davenport"
"5710",1733687,"STR-2209-HMYPHK","M4Y","13","Toronto Centre"
"5711",1733688,"STR-2209-HWFPHL","M6A","08","Eglinton-Lawrence"
"5712",1733689,"STR-2209-FJWBHB","M4C","19","Beaches-East York"
"5713",1733690,"STR-2209-GHQBHF","M4M","14","Toronto-Danforth"
"5714",1733691,"STR-2209-GQWBHG","M4M","14","Toronto-Danforth"
"5715",1733692,"STR-2209-GYCBHH","M2N","18","Willowdale"
"5716",1733693,"STR-2209-HGJBHJ","M5S","13","Toronto Centre"
"5717",1733694,"STR-2209-HPQBHK","M3K","06","York Centre"
"5718",1733695,"STR-2209-HWWBHL","M5E","10","Spadina-Fort York"
"5719",1733696,"STR-2209-JFCBHM","M5V","10","Spadina-Fort York"
"5720",1733697,"STR-2209-FSSPHC","M6K","10","Spadina-Fort York"
"5721",1733698,"STR-2209-GJFPHF","M5P","12","Toronto-St. Paul's"
"5722",1733699,"STR-2209-GRLPHG","M4M","14","Toronto-Danforth"
"5723",1733700,"STR-2209-GYSPHH","M6K","10","Spadina-Fort York"
"5724",1733701,"STR-2209-HGYPHJ","M5E","13","Toronto Centre"
"5725",1733702,"STR-2209-HQFPHK","M5V","10","Spadina-Fort York"
"5726",1733703,"STR-2209-HXLPHL","M5R","11","University-Rosedale"
"5727",1733704,"STR-2209-JFSPHM","M6J","10","Spadina-Fort York"
"5728",1733705,"STR-2209-HBRHHJ","M1C","25","Scarborough-Rouge Park"
"5729",1733706,"STR-2209-FTJBHC","M5J","10","Spadina-Fort York"
"5730",1733707,"STR-2209-GSCBHG","M9W","01","Etobicoke North"
"5731",1733708,"STR-2209-GZJBHH","M5V","10","Spadina-Fort York"
"5732",1733709,"STR-2209-HHQBHJ","M5A","13","Toronto Centre"
"5733",1733710,"STR-2209-HQWBHK","M5V","10","Spadina-Fort York"
"5734",1733711,"STR-2209-FLSPHB","M4C","19","Beaches-East York"
"5735",1733712,"STR-2209-FTYPHC","M3J","07","Humber River-Black Creek"
"5736",1733713,"STR-2209-GCFPHD","M4W","13.0","Toronto Centre"
"5737",1733714,"STR-2209-GKLPHF","M1T","22","Scarborough-Agincourt"
"5738",1733715,"STR-2209-GZYPHH","M1E","24","Scarborough-Guildwood"
"5739",1733716,"STR-2209-HJFPHJ","M5V","10","Spadina-Fort York"
"5740",1733717,"STR-2209-HRLPHK","M4M","14","Toronto-Danforth"
"5741",1733718,"STR-2209-HYSPHL","M6P","04","Parkdale-High Park"
"5742",1733719,"STR-2209-FFDHHB","M5V","10","Spadina-Fort York"
"5743",1733720,"STR-2209-FMKHHC","M4J","14","Toronto-Danforth"
"5744",1733721,"STR-2209-FVRHHD","M5J","10","Spadina-Fort York"
"5745",1733722,"STR-2209-GCXHHF","M5V","10","Spadina-Fort York"
"5746",1733723,"STR-2209-GLDHHG","M4R","08","Eglinton-Lawrence"
"5747",1733724,"STR-2209-GTKHHH","M3J","06","York Centre"
"5748",1733725,"STR-2209-HJXHHK","M5J","10","Spadina-Fort York"
"5749",1733726,"STR-2209-HZKHHM","M8Z","03","Etobicoke-Lakeshore"
"5750",1733727,"STR-2209-FFTVHB","M1L","20","Scarborough Southwest"
"5751",1733728,"STR-2209-FMZVHC","M6C","12","Toronto-St. Paul's"
"5752",1733729,"STR-2209-FWGVHD","M1X","23","Scarborough North"
"5753",1733730,"STR-2209-GDMVHF","M3M","06","York Centre"
"5754",1733731,"STR-2209-GTZVHH","M6G","11","University-Rosedale"
"5755",1733732,"STR-2209-HKMVHK","M6H","09","Davenport"
"5756",1733733,"STR-2209-HZZVHM","M5J","10","Spadina-Fort York"
"5757",1733734,"STR-2209-FGKHHB","M5V","10","Spadina-Fort York"
"5758",1733735,"STR-2209-FPRHHC","M4L","14","Toronto-Danforth"
"5759",1733736,"STR-2209-GMKHHG","M5V","10","Spadina-Fort York"
"5760",1733737,"STR-2209-GVRHHH","M5V","10","Spadina-Fort York"
"5761",1733738,"STR-2209-HCXHHJ","M3B","15","Don Valley West"
"5762",1733739,"STR-2209-HLDHHK","M4Y","11","University-Rosedale"
"5763",1733740,"STR-2209-HTKHHL","M5J","10","Spadina-Fort York"
"5764",1733741,"STR-2209-JBRHHM","M5V","10","Spadina-Fort York"
"5765",1733742,"STR-2209-FGZVHB","M5V","10","Spadina-Fort York"
"5766",1733743,"STR-2209-FXMVHD","M8W","03","Etobicoke-Lakeshore"
"5767",1733744,"STR-2209-GFTVHF","M5A","10","Spadina-Fort York"
"5768",1733745,"STR-2209-GWGVHH","M6G","11","University-Rosedale"
"5769",1733746,"STR-2209-HLTVHK","M5S","13","Toronto Centre"
"5770",1733747,"STR-2209-HTZVHL","M2N","18","Willowdale"
"5771",1733748,"STR-2209-JCGVHM","M5V","10","Spadina-Fort York"
"5772",1733749,"STR-2209-FHRHHB","M6K","10","Spadina-Fort York"
"5773",1733750,"STR-2209-FQXHHC","M9P","02","Etobicoke Centre"
"5774",1733751,"STR-2209-GGKHHF","M5A","13","Toronto Centre"
"5775",1733752,"STR-2209-GPRHHG","M6J","10","Spadina-Fort York"
"5776",1733753,"STR-2209-GWXHHH","M5T","11","University-Rosedale"
"5777",1733754,"STR-2209-HFDHHJ","M2H","17","Don Valley North"
"5778",1733755,"STR-2209-HMKHHK","M5V","10","Spadina-Fort York"
"5779",1733756,"STR-2209-HVRHHL","M4C","19","Beaches-East York"
"5780",1733757,"STR-2209-JCXHHM","M4E","19","Beaches-East York"
"5781",1733758,"STR-2209-GGZVHF","M6H","09","Davenport"
"5782",1733759,"STR-2209-GQGVHG","M2K","17.0","Don Valley North"
"5783",1733760,"STR-2209-GXMVHH","M6J","10","Spadina-Fort York"
"5784",1733761,"STR-2209-HFTVHJ","M5V","10","Spadina-Fort York"
"5785",1733762,"STR-2209-HMZVHK","M6J","10","Spadina-Fort York"
"5786",1733763,"STR-2209-HWGVHL","M9B","02","Etobicoke Centre"
"5787",1733764,"STR-2209-JDMVHM","M6M","05","York South-Weston"
"5788",1733765,"STR-2209-FJXHHB","M5V","10","Spadina-Fort York"
"5789",1733766,"STR-2209-FZKHHD","M6J","11","University-Rosedale"
"5790",1733767,"STR-2209-GHRHHF","M5V","10","Spadina-Fort York"
"5791",1733768,"STR-2209-GQXHHG","M8Y","03","Etobicoke-Lakeshore"
"5792",1733769,"STR-2209-GYDHHH","M5V","10","Spadina-Fort York"
"5793",1733770,"STR-2209-HGKHHJ","M8W","03","Etobicoke-Lakeshore"
"5794",1733771,"STR-2209-HPRHHK","M5V","10","Spadina-Fort York"
"5795",1733772,"STR-2209-HWXHHL","M1R","21","Scarborough Centre"
"5796",1733773,"STR-2209-FKMVHB","M5V","10","Spadina-Fort York"
"5797",1733774,"STR-2209-FSTVHC","M6K","10","Spadina-Fort York"
"5798",1733775,"STR-2209-GJGVHF","M6N","05","York South-Weston"
"5799",1733776,"STR-2209-GRMVHG","M1M","20","Scarborough Southwest"
"5800",1733777,"STR-2209-GYTVHH","M9P","02","Etobicoke Centre"
"5801",1733778,"STR-2209-HGZVHJ","M4M","14","Toronto-Danforth"
"5802",1733779,"STR-2209-HQGVHK","M1T","22","Scarborough-Agincourt"
"5803",1733780,"STR-2209-HXMVHL","M1V","23","Scarborough North"
"5804",1733781,"STR-2209-GGLRVF","M5R","11","University-Rosedale"
"5805",1733782,"STR-2209-FLDHHB","M5E","10","Spadina-Fort York"
"5806",1733783,"STR-2209-FTKHHC","M5V","10","Spadina-Fort York"
"5807",1733784,"STR-2209-GBRHHD","M4Y","13","Toronto Centre"
"5808",1733785,"STR-2209-GJXHHF","M5G","11.0","University-Rosedale"
"5809",1733786,"STR-2209-GSDHHG","M1M","20","Scarborough Southwest"
"5810",1733787,"STR-2209-GZKHHH","M3B","16","Don Valley East"
"5811",1733788,"STR-2209-HHRHHJ","M3K","06","York Centre"
"5812",1733789,"STR-2209-JGKHHM","M9B","03","Etobicoke-Lakeshore"
"5813",1733790,"STR-2209-FLTVHB","M5V","10","Spadina-Fort York"
"5814",1733791,"STR-2209-FTZVHC","M4X","13","Toronto Centre"
"5815",1733792,"STR-2209-GCGVHD","M1P","21","Scarborough Centre"
"5816",1733793,"STR-2209-GKMVHF","M5V","10","Spadina-Fort York"
"5817",1733794,"STR-2209-GSTVHG","M4P","15","Don Valley West"
"5818",1733795,"STR-2209-GZZVHH","M4L","14","Toronto-Danforth"
"5819",1733796,"STR-2209-HJGVHJ","M5T","10","Spadina-Fort York"
"5820",1733797,"STR-2209-HRMVHK","M9R","01","Etobicoke North"
"5821",1733798,"STR-2209-HYTVHL","M9B","02","Etobicoke Centre"
"5822",1733799,"STR-2209-JGZVHM","M2J","17","Don Valley North"
"5823",1733800,"STR-2209-FVCDVD","M5A","13","Toronto Centre"
"5824",1733801,"STR-2209-GCJDVF","M4C","19","Beaches-East York"
"5825",1733802,"STR-2209-HWYRVL","M2N","18","Willowdale"
"5826",1733803,"STR-2209-GSWDVH","M5A","13","Toronto Centre"
"5827",1733804,"STR-2209-HJJDVK","M6N","09","Davenport"
"5828",1733805,"STR-2209-HRQDVL","M6J","09","Davenport"
"5829",1733806,"STR-2209-FFFRVB","M6J","09","Davenport"
"5830",1733807,"STR-2209-FVSRVD","M8V","03","Etobicoke-Lakeshore"
"5831",1733808,"STR-2209-HBSRVJ","M1G","24","Scarborough-Guildwood"
"5832",1733809,"STR-2209-HJYRVK","M2J","17","Don Valley North"
"5833",1733810,"STR-2209-HSFRVL","M5A","13","Toronto Centre"
"5834",1733811,"STR-2209-HZLRVM","M9B","03","Etobicoke-Lakeshore"
"5835",1733812,"STR-2209-FFWDVB","M4X","13","Toronto Centre"
"5836",1733813,"STR-2209-FPCDVC","M5V","10","Spadina-Fort York"
"5837",1733814,"STR-2209-FWJDVD","M5V","10","Spadina-Fort York"
"5838",1733815,"STR-2209-GDQDVF","M9A","02","Etobicoke Centre"
"5839",1733816,"STR-2209-GLWDVG","M9C","02","Etobicoke Centre"
"5840",1733817,"STR-2209-GVCDVH","M6K","09","Davenport"
"5841",1733818,"STR-2209-HCJDVJ","M6K","09","Davenport"
"5842",1733819,"STR-2209-HKQDVK","M5V","10","Spadina-Fort York"
"5843",1733820,"STR-2209-HSWDVL","M4L","19","Beaches-East York"
"5844",1733821,"STR-2209-JBCDVM","M5V","10","Spadina-Fort York"
