"","postal_code","ward_name"
"248","M4C","Beaches-East York"
"249","M6H","Davenport"
"250","M6H","Davenport"
"251","M5V","Spadina-Fort York"
"252","M5J","Spadina-Fort York"
"253","M5J","Spadina-Fort York"
"254","M4Y","Toronto Centre"
"255","M6H","Davenport"
"256","M1J","Scarborough-Guildwood"
"257","M8V","Etobicoke-Lakeshore"
"258","M5V","Spadina-Fort York"
"259","M6R","Parkdale-High Park"
"260","M8V","Etobicoke-Lakeshore"
"261","M9C","Etobicoke Centre"
"262","M5S","University-Rosedale"
"263","M1N","Scarborough Southwest"
"264","M9L","Humber River-Black Creek"
"265","M6J","Spadina-Fort York"
"266","M5V","Spadina-Fort York"
"267","M6G","University-Rosedale"
"268","M4K","Toronto-Danforth"
"269","M4L","Beaches-East York"
"270","M4Y","Toronto Centre"
"271","M6J","Spadina-Fort York"
"272","M9V","Etobicoke North"
"273","M5J","Spadina-Fort York"
"274","M6E","Davenport"
"275","M5J","Spadina-Fort York"
"276","M5J","Spadina-Fort York"
"277","M1R","Scarborough Centre"
"278","M4L","Beaches-East York"
"279","M6R","Parkdale-High Park"
"280","M5S","University-Rosedale"
"281","M6M","York South-Weston"
"282","M4E","Beaches-East York"
"283","M1C","Scarborough-Rouge Park"
"284","M6J","Spadina-Fort York"
"285","M1M","Scarborough Southwest"
"286","M6R","Parkdale-High Park"
"287","M6B","Eglinton-Lawrence"
"288","M6K","Davenport"
"289","M5A","Toronto Centre"
"290","M5E","Spadina-Fort York"
"291","M5J","Spadina-Fort York"
"292","M5J","Spadina-Fort York"
"293","M3J","Humber River-Black Creek"
"294","M1G","Scarborough-Guildwood"
"295","M5R","University-Rosedale"
"296","M2P","Don Valley West"
"297","M4L","Toronto-Danforth"
"298","M8Z","Etobicoke-Lakeshore"
"299","M6H","Davenport"
"300","M6P","Davenport"
"301","M8V","Etobicoke-Lakeshore"
"302","M5S","Toronto Centre"
"303","M4L","Beaches-East York"
"304","M6G","University-Rosedale"
"305","M6S","Parkdale-High Park"
"306","M5R","University-Rosedale"
"307","M4L","Beaches-East York"
"308","M5J","Spadina-Fort York"
"309","M6C","St.Paul's"
"310","M6H","Davenport"
"311","M5V","Spadina-Fort York"
"312","M4J","Toronto-Danforth"
"313","M4Y","Toronto Centre"
"314","M6P","Parkdale-High Park"
"315","M1B","Scarborough-Rouge Park"
"316","M4M","Toronto-Danforth"
"317","M4S","St.Paul's"
"318","M8Y","Etobicoke-Lakeshore"
"319","M5A","Toronto Centre"
"320","M4G","Don Valley West"
"321","M5V","Spadina-Fort York"
"322","M5J","Spadina-Fort York"
"323","M4K","Toronto-Danforth"
"324","M5V","Spadina-Fort York"
"325","M1T","Scarborough-Agincourt"
"326","M4M","Toronto-Danforth"
"327","M4J","Toronto-Danforth"
"328","M5J","Spadina-Fort York"
"329","M5J","Spadina-Fort York"
"330","M3J","Humber River-Black Creek"
"331","M5V","Spadina-Fort York"
"332","M4J","Toronto-Danforth"
